listing_id,title,price_text,price_pkr,currency,city,location,address,property_type,purpose,area_text,area_value,area_unit,area_sqft,bedrooms,bathrooms,description,listing_url,scraped_at
52274461,Exclusive 10 Marla Double Unit House For Sale In DHA Phase 7,4.53 Crore,45300000,PKR,Lahore,"DHA Defence, Lahore, Punjab","DHA Phase 7 - Block Y, DHA Phase 7, DHA Defence, Lahore, Punjab",House,For Sale,10 Marla,10,Marla,2250,4,5,"HARMAIN REAL ESTATE & BUILDERS Accommodation -4 Master Bed with attached Baths -Total 5 Bathrooms in the Bungalow. - 5 Air-conditioners & 1 Led's installed in Bungalow. - Beautiful Drawing Dinning Room - Double Story Bungalow - 2 Holzinn Home kitchen - 1 Servant Quarter - 3 Big Cars Parking - 2 Storerooms - Beautiful Lawn - Bar B. Q Area in Bungalow - Ash Wood Door Almirah - Imported Fittings - One Imported Jacuzzi's and 3 Cabin Showers installed in baths. Approach 100 Ft Wide Good Location Near to Airport, Shopping Mall, Nawaz Sharif Interchange Very Reasonable Demand. Meeting Possible 24 7. Contact us for more details.",https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_y_exclusive_10_marla_double_unit_house_for_sale_in_dha_phase_7-52274461-1632-1.html,2026-08-18T05:54:50.783Z
51813229,2 Kanal House For Sale At Super Hot Location Near Park Commercial,19.95 Crore,199500000,PKR,Lahore,"DHA Defence, Lahore, Punjab","DHA Phase 6 - Block K, DHA Phase 6, DHA Defence, Lahore, Punjab",House,For Sale,2 Kanal,2,Kanal,9000,6,6,"*1 Kanal, House 1 Kanal Lawn , Phase-6, House Specifications* *Bedrooms:* 6 fully furnished bedrooms with modern interiors. *Servant Quarters:* 3 separate servant quarters with a dedicated washroom in the basement. *Premium Features:* *Main Entrance:* 22-feet tall *Dekton* main door by *Chughtaiz. * *Lobby Flooring:* Imported book-matched marble for a luxurious look. *Chandeliers:* Custom-designed by our architect for an exclusive ambiance. *Kitchen:* Premium SMC Kitchen with high-end fittings and appliances. *Doors:* Elegant Buro Solid Doors throughout the house for a sophisticated touch. *Tiles:* High-end tiles from Kale, Monalisa, and I-Verse. Large Slabs *Entertainment & Comfort:* *Home Theatre:* Yamaha sound system installed for a premium audio experience. *Televisions:* 100-inch TV in the main lounge. 75-inch TV on the first floor. *Luxury Pool:* Indoor luxury pool in the basement for year-round relaxation. *Elevator:* Lift access to all floors, including the rooftop. *A perfect ",https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_k_2_kanal_house_for_sale_at_super_hot_location_near_park_commercial-51813229-1619-1.html,2026-08-18T05:54:53.600Z
54571095,A 20 Marla House Has Landed On Market In DHA Phase 6 - Block K Of Lahore,22.98 Crore,229800000,PKR,Lahore,"DHA Defence, Lahore, Punjab","DHA Phase 6 - Block K, DHA Phase 6, DHA Defence, Lahore, Punjab",House,For Sale,1 Kanal,1,Kanal,4500,6,6,"Description Wall Green Realtors offering. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . **Wall Green Realtors Proudly Offers an Extraordinary Luxury Living Experience in DHA Phase 6, Lahore!** Presenting a magnificent **1-Kanal Modern Designed Fully Furnished Luxury Bungalow with Complete Basement**, located at a prime address in DHA Phase 6. Crafted with exceptional attention to detail and finished with premium imported materials, this stunning residence combines elegance, comfort, and modern sophistication. Featuring a private swimming pool, luxury home theatre, double-height lobby, and beautifully landscaped surroundings, this home is truly designed for those who appreciate luxury at its finest. **Key Features:** 6 Spacious Bedrooms with Attached Luxury Bathrooms 3 Bathrooms with Jacuzzi Tubs & Shower Cabins Elegant Powder Room Private Swimming Pool Luxury Home Theatre Complete Basement with 2 Servant Rooms & Store Room 3 Modern Imported Kitchens 15KW Solar Power",https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_k_a_20_marla_house_has_landed_on_market_in_dha_phase_6_-_block_k_of_lahore-54571095-1619-1.html,2026-08-18T05:54:56.513Z
54030577,House For Sale In Beautiful DHA Phase 5 - Block H,17.5 Crore,175000000,PKR,Lahore,"DHA Defence, Lahore, Punjab","DHA Phase 5 - Block H, DHA Phase 5, DHA Defence, Lahore, Punjab",House,For Sale,2 Kanal,2,Kanal,9000,6,7,SYED BROTHERS OFFERS: 100% Original Pictures Are Attached About The Property: 06 Master Size Bed Rooms With Attached Bath All Baths Are Equipped With Imported Fittings 2 Kitchen Amazing Wood Work 2 TV Lounge Store Room Prayer Room 2 Servant Quarter In Basement Drawing Room And Dining Room Amazing Wood Work In Bungalow House Is Located Near Park/Mosque Near By Commercial Area Complete Wiring Of UPS And Generator Done In The House Solid Steel Work Used For Outside Main Gate Complete Marble/Tiled/Wooden Flooring All The Construction Near And Adjacent To House Is New Washing Area Is Elegantly Managed At The Back Side Of House Good Sizes Of Washrooms With Large Wardrobes In It. Superb Elevation House Location Is Excellent Main Hospitals Are So Nearby That Hardly Just 5 Minutes Away Exclusive Views From The Terrace. Spacious Terrace Where One Can Easily Have Good Walk And Reasonable Sitting Area. All The Basic Necessities Of Life Are Available. All The Basic Utilities Are Available Including,https://www.zameen.com/Property/dha_phase_5_dha_phase_5_-_block_h_house_for_sale_in_beautiful_dha_phase_5_-_block_h-54030577-1605-1.html,2026-08-18T05:54:59.358Z
53197579,Brand New Flat Full Decorated For Sale,7.25 Crore,72500000,PKR,Karachi,"Shaheed Millat Road, Karachi, Sindh","Shaheed Millat Road, Karachi, Sindh",Flat,For Sale,208 Sq. Yd.,208,Sq. Yd.,1872,3,4,"3 Bed With Attached Washrooms Drawing Dining With Attached Powder Room Huge Lounge Attached Store Room Lift, Car Parking And Standby Generator Available Amenities: Masjid,Community Hall,Gym",https://www.zameen.com/Property/karachi_shaheed_millat_road_brand_new_flat_full_decorated_for_sale-53197579-413-1.html,2026-08-18T05:55:02.208Z
54006653,Flat Available For Sell In High-Rise,4.75 Crore,47500000,PKR,Karachi,"Khalid Bin Walid Road, Karachi, Sindh","Khalid Bin Walid Road, Karachi, Sindh",Flat,For Sale,200 Sq. Yd.,200,Sq. Yd.,1800,3,4,Flat Available For Sell In Prime Location 3 Bed Dd 1800sqft 3 Side Corner Flat With 3 Balcony Lift Parking Standby Generator Spacious Lobby For Guests West Open Flat Near By Masjid And Market For Further Details Contact,https://www.zameen.com/Property/karachi_khalid_bin_walid_road_flat_available_for_sell_in_high-rise-54006653-253-1.html,2026-08-18T05:55:05.004Z
54197755,In Gulistan-E-Jauhar - Block 1 Flat For Sale Sized 1865 Square Feet,3 Crore,30000000,PKR,Karachi,"Gulistan-e-Jauhar, Karachi, Sindh","Gulistan-e-Jauhar - Block 1, Gulistan-e-Jauhar, Karachi, Sindh",Flat,For Sale,207 Sq. Yd.,207,Sq. Yd.,1863,3,3,"RANA PRESIDENCY Where Luxury Meets Location A Signature Project by Rana Builders & Developers Opposite NED University, University Road Karachi Premium Apartments Now Available for Booking Step into modern living with Rana Presidency, a high-end residential project offering unmatched comfort, location, and lifestyle. Whether youre a family seeking a secure home or an investor looking for a prime opportunity, this is your chance! --- Pricing & Payment Plan Total Cost: PKR 3 crores Down Payment: PKR 1 Crore 70 Lakh Remaining in 12 Easy Monthly Installments Possession by December 2025 --- World-Class Amenities Stylish, Spacious Lobby Fully Equipped Gymnasium In-Building Mosque Reserved Car Parking 24/7 Water Supply (with tanker backup) 24/7 Electricity Backup Sui Gas Available --- Location Advantages Directly Opposite NED University Just Minutes from Karachi Airport Easy Access to Main University Road Surrounded by Mosques & Community Parks Near Shopping Centers, Schools & Restaurants Scen",https://www.zameen.com/Property/gulistan_e_jauhar_gulistan-e-jauhar_-_block_1_in_gulistan-e-jauhar_-_block_1_flat_for_sale_sized_1865_square_feet-54197755-6823-1.html,2026-08-18T05:55:07.832Z
54130618,Highly-Desirable House Available In I-9/4 For Sale,8.5 Crore,85000000,PKR,Islamabad,"I-9, Islamabad, Islamabad Capital","I-9/4, I-9, Islamabad, Islamabad Capital",House,For Sale,9.3 Marla,9.3,Marla,2093,6,6,Double storey House is available for sale 6 beds with attached baths DD TV lounge kitchen store room car parking all facilities are available cda transfer wide street best option for living near markaz school masjid and community park peaceful environment more options also available Get in touch with us today for more information and direct deal.,https://www.zameen.com/Property/i_9_i-9_4_highly-desirable_house_available_in_i-9_4_for_sale-54130618-3450-1.html,2026-08-18T05:55:10.685Z
54540842,FOR SALE 8-Marla Brand New Triple Storey House CDA Transfer D_12/1,10 Crore,100000000,PKR,Islamabad,"D-12, Islamabad, Islamabad Capital","D-12, Islamabad, Islamabad Capital",House,For Sale,8 Marla,8,Marla,1800,8,7,D_12/1 Size = 8 Marla + Brand New (Triple Storey 8-Bedrooms House) Drawing Dining+ TV Lounge + 4 Kitchen Sale Demand = 10 Crore 1% Agency Fee (Transfer time),https://www.zameen.com/Property/islamabad_d-12_for_sale_8-marla_brand_new_triple_storey_house_cda_transfer_d_12_1-54540842-160-1.html,2026-08-18T05:55:13.597Z
54622911,1 Kanal Brand New luxury Double Story House for Sale in Topcity Islamabad,12 Crore,120000000,PKR,Islamabad,"Top City 1, Islamabad, Islamabad Capital","Top City 1, Islamabad, Islamabad Capital",House,For Sale,1 Kanal,1,Kanal,4500,7,6,"1 Kanal Luxury Designer House for Sale Top City Islamabad 1 Kanal Luxury Designer Double-Story House for Sale in Top City Islamabad A beautifully designed semi-furnished luxury house featuring 6 spacious master bedrooms with attached bathrooms, 1 servant room, elegant drawing room & dining room, and high-quality finishes throughout. Key Features: - Solid & premium construction - Prime location Park & Mosque facing - 11 ACs installed - 20 KW Solar System installed - Lift installed - Spacious master bedrooms - Beautiful drawing & dining rooms - Semi-furnished setup - Excellent quality work and finishing - Ideal for luxury living Demand: PKR 12 Crore For further details & visit, contact: View Contact Detail",https://www.zameen.com/Property/islamabad_top_city_1_1_kanal_brand_new_luxury_double_story_house_for_sale_in_topcity_islamabad-54622911-1383-1.html,2026-08-18T05:55:16.427Z
